context,model,seed,prob_kind,bin,n,mean_pred,observed_rate,p_min,p_max
in_domain,hgb,0,raw,2,2696,0.08740337260651726,0.07752225519287834,0.07706891591171616,0.09662631362956031
in_domain,hgb,0,raw,3,2696,0.10481184635010067,0.09643916913946587,0.09664844894317057,0.11279632725529268
in_domain,hgb,0,raw,4,2696,0.12076994068591942,0.12388724035608309,0.11281013771884638,0.12866636413511498
in_domain,hgb,0,raw,5,2696,0.13709500147454307,0.14614243323442136,0.12867235903209065,0.14576906471860815
in_domain,hgb,0,raw,6,2696,0.1551532888691791,0.1554154302670623,0.14577016251038516,0.16465590034110816
in_domain,hgb,0,raw,7,2696,0.17491536198669833,0.18508902077151335,0.16465894341294243,0.18598742277383956
in_domain,hgb,0,raw,8,2696,0.19861427985675767,0.20029673590504452,0.18599664236204724,0.2125452741115549
in_domain,hgb,0,raw,9,2696,0.22955077685796652,0.23738872403560832,0.21257364982515617,0.24841461693443553
in_domain,hgb,0,raw,10,2696,0.289589577123141,0.2874629080118694,0.2484217147688261,0.4728007468172489
in_domain,hgb,0,recal,1,2697,0.05958561913000036,0.05005561735261402,0.023039115544399726,0.07719682933002191
in_domain,hgb,0,recal,2,2696,0.08754838844059834,0.07752225519287834,0.07719828779777967,0.09678507278706534
in_domain,hgb,0,recal,3,2696,0.10498245267419891,0.09643916913946587,0.09680724057213204,0.11297833147449889
in_domain,hgb,0,recal,4,2696,0.12096301895091516,0.12388724035608309,0.11299216138408685,0.1288702561132112
in_domain,hgb,0,recal,5,2696,0.13731010115655587,0.14614243323442136,0.12887625910494513,0.14599551756577078
in_domain,hgb,0,recal,6,2696,0.1553916133304807,0.1554154302670623,0.1459966167714978,0.16490602984041514
in_domain,hgb,0,recal,7,2696,0.17517773781106963,0.18508902077151335,0.16490907662239632,0.18626273154700917
in_domain,hgb,0,recal,8,2696,0.19890360604815466,0.20029673590504452,0.18627196165961118,0.2128496157908741
in_domain,hgb,0,recal,9,2696,0.2298721667585649,0.23738872403560832,0.21287802115136878,0.24875409485417202
in_domain,hgb,0,recal,10,2696,0.2899612980317436,0.2874629080118694,0.24876119917786593,0.4732537819137059
in_domain,rf,0,raw,1,2697,0.03767025089605735,0.06266221727845754,0.0,0.05333333333333334
in_domain,rf,0,raw,2,2696,0.06470202769535113,0.103486646884273,0.05333333333333334,0.07333333333333333
in_domain,rf,0,raw,3,2696,0.08434718100890208,0.11646884272997032,0.07333333333333333,0.09333333333333334
in_domain,rf,0,raw,4,2696,0.10259643916913948,0.13204747774480713,0.09333333333333334,0.11333333333333333
in_domain,rf,0,raw,5,2696,0.12105588526211672,0.15244807121661721,0.11333333333333333,0.13
in_domain,rf,0,raw,6,2696,0.1405081602373887,0.16728486646884272,0.13,0.15
in_domain,rf,0,raw,7,2696,0.1626780415430267,0.18545994065281898,0.15,0.17666666666666667
in_domain,rf,0,raw,8,2696,0.1904043026706231,0.18954005934718102,0.17666666666666667,0.20666666666666667
in_domain,rf,0,raw,9,2696,0.22862883283877353,0.20586053412462907,0.20666666666666667,0.25333333333333335
in_domain,rf,0,raw,10,2696,0.3140986646884273,0.24443620178041542,0.25333333333333335,0.6966666666666667
in_domain,rf,0,recal,1,2697,0.0412013838765563,0.06266221727845754,1.0981719782706206e-06,0.05826411606733281
in_domain,rf,0,recal,2,2696,0.07060157362343825,0.103486646884273,0.05826411606733281,0.07995698640805834
in_domain,rf,0,recal,3,2696,0.09186382433345407,0.11646884272997032,0.07995698640805834,0.10156544481896279
in_domain,rf,0,recal,4,2696,0.11154219662084772,0.13204747774480713,0.10156544481896279,0.12308998304255005
in_domain,rf,0,recal,5,2696,0.13137575647215657,0.15244807121661721,0.12308998304255005,0.14096334466163857
in_domain,rf,0,recal,6,2696,0.1521988663047791,0.16728486646884272,0.14096334466163857,0.16233529374731942
in_domain,rf,0,recal,7,2696,0.1758351046056524,0.18545994065281898,0.16233529374731942,0.19070290125159492
in_domain,rf,0,recal,8,2696,0.20525179604432936,0.18954005934718102,0.19070290125159492,0.22244245227820647
in_domain,rf,0,recal,9,2696,0.24554332621085856,0.20586053412462907,0.22244245227820647,0.2714525003875651
in_domain,rf,0,recal,10,2696,0.3342889898432557,0.24443620178041542,0.2714525003875651,0.7160845579476571
in_domain,rf,1,raw,1,2697,0.037693733778272155,0.061549870226177236,0.0,0.05333333333333334
in_domain,rf,1,raw,2,2696,0.06495796241345203,0.09606824925816024,0.05333333333333334,0.07666666666666666
in_domain,rf,1,raw,3,2696,0.0851421859545005,0.125,0.07666666666666666,0.09333333333333334
